Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 126.0.0.0,,,2024-07-27 21:42:36,2024-07-27 21:45:55,3m - 18.901s,PASSED
,,,,,,,
Test Cases/Login-userpass kosong,Chrome 126.0.0.0,,,2024-07-27 21:42:36,2024-07-27 21:43:01,25.040s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,2024-07-27 21:42:37,2024-07-27 21:42:47,10.191s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,2024-07-27 21:42:47,2024-07-27 21:42:52,4.725s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,2024-07-27 21:42:52,2024-07-27 21:42:53,0.462s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,2024-07-27 21:42:53,2024-07-27 21:42:56,3.395s,PASSED
delay(3),Chrome 126.0.0.0,,,2024-07-27 21:42:56,2024-07-27 21:42:59,3.067s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,2024-07-27 21:42:59,2024-07-27 21:43:01,1.589s,PASSED
"verifyElementText(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/p_Login failed Please ensure the username and password are valid""), ""Login failed! Please ensure the username and password are valid."")",Chrome 126.0.0.0,,,2024-07-27 21:43:01,2024-07-27 21:43:01,0.751s,PASSED
,,,,,,,
Test Cases/Login-normal,Chrome 126.0.0.0,,,2024-07-27 21:43:02,2024-07-27 21:43:26,24.428s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,2024-07-27 21:43:03,2024-07-27 21:43:11,8.312s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,2024-07-27 21:43:11,2024-07-27 21:43:16,4.749s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,2024-07-27 21:43:16,2024-07-27 21:43:16,0.539s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,2024-07-27 21:43:16,2024-07-27 21:43:20,3.509s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,2024-07-27 21:43:20,2024-07-27 21:43:22,1.921s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,2024-07-27 21:43:22,2024-07-27 21:43:23,0.893s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,2024-07-27 21:43:23,2024-07-27 21:43:25,2.797s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 126.0.0.0,,,2024-07-27 21:43:25,2024-07-27 21:43:26,0.511s,PASSED
,,,,,,,
Test Cases/Login-full-flow,Chrome 126.0.0.0,,,2024-07-27 21:43:26,2024-07-27 21:44:21,54.769s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,2024-07-27 21:43:26,2024-07-27 21:43:34,7.885s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,2024-07-27 21:43:34,2024-07-27 21:43:39,4.906s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,2024-07-27 21:43:39,2024-07-27 21:43:42,3.193s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,2024-07-27 21:43:42,2024-07-27 21:43:45,2.153s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,2024-07-27 21:43:45,2024-07-27 21:43:46,1.292s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,2024-07-27 21:43:46,2024-07-27 21:43:50,4.089s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 126.0.0.0,,,2024-07-27 21:43:50,2024-07-27 21:43:51,0.532s,PASSED
