Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 126.0.0.0,,,2024-07-27 21:33:08,2024-07-27 21:33:54,45.745s,FAILED
,,,,,,,
Test Cases/Login-full-flow,Chrome 126.0.0.0,,,2024-07-27 21:33:09,2024-07-27 21:33:51,42.666s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,2024-07-27 21:33:09,2024-07-27 21:33:23,13.893s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,2024-07-27 21:33:23,2024-07-27 21:33:28,4.635s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,2024-07-27 21:33:28,2024-07-27 21:33:30,2.441s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,2024-07-27 21:33:30,2024-07-27 21:33:32,1.521s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,2024-07-27 21:33:32,2024-07-27 21:33:33,0.813s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,2024-07-27 21:33:33,2024-07-27 21:33:34,1.730s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 126.0.0.0,,,2024-07-27 21:33:34,2024-07-27 21:33:35,0.534s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 126.0.0.0,,,2024-07-27 21:33:35,2024-07-27 21:33:36,1.379s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Seoul CURA Healthcare Center"", true)",Chrome 126.0.0.0,,,2024-07-27 21:33:36,2024-07-27 21:33:38,1.336s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Tokyo CURA Healthcare Center"", true)",Chrome 126.0.0.0,,,2024-07-27 21:33:38,2024-07-27 21:33:39,1.069s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 126.0.0.0,,,2024-07-27 21:33:39,2024-07-27 21:33:39,0.590s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 126.0.0.0,,,2024-07-27 21:33:39,2024-07-27 21:33:40,0.544s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_None""))",Chrome 126.0.0.0,,,2024-07-27 21:33:40,2024-07-27 21:33:40,0.406s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 126.0.0.0,,,2024-07-27 21:33:40,2024-07-27 21:33:41,0.539s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Medicare""))",Chrome 126.0.0.0,,,2024-07-27 21:33:41,2024-07-27 21:33:41,0.414s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""), ""30/07/2024"")",Chrome 126.0.0.0,,,2024-07-27 21:33:41,2024-07-27 21:33:45,3.945s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Demo Cura test automation"")",Chrome 126.0.0.0,,,2024-07-27 21:33:45,2024-07-27 21:33:46,1.060s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 126.0.0.0,,,2024-07-27 21:33:46,2024-07-27 21:33:48,1.724s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 126.0.0.0,,,2024-07-27 21:33:48,2024-07-27 21:33:48,0.435s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""), ""Please be informed that your appointment has been booked as following:"")",Chrome 126.0.0.0,,,2024-07-27 21:33:48,2024-07-27 21:33:49,0.362s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 126.0.0.0,,,2024-07-27 21:33:49,2024-07-27 21:33:49,0.747s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,2024-07-27 21:33:49,2024-07-27 21:33:50,0.612s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Logout""))",Chrome 126.0.0.0,,,2024-07-27 21:33:50,2024-07-27 21:33:51,1.109s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,2024-07-27 21:33:51,2024-07-27 21:33:51,0.217s,PASSED
,,,,,,,
Test Cases/Login-username kosong,Chrome 126.0.0.0,,,2024-07-27 21:33:51,2024-07-27 21:33:52,0.857s,FAILED
"click(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,2024-07-27 21:33:52,2024-07-27 21:33:52,0.447s,FAILED
,,,,,,,
Test Cases/Login-password kosong,Chrome 126.0.0.0,,,2024-07-27 21:33:52,2024-07-27 21:33:53,0.366s,FAILED
"click(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,2024-07-27 21:33:53,2024-07-27 21:33:53,0.083s,FAILED
,,,,,,,
Test Cases/Login-username tidak sesuai,Chrome 126.0.0.0,,,2024-07-27 21:33:53,2024-07-27 21:33:53,0.359s,FAILED
"click(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,2024-07-27 21:33:53,2024-07-27 21:33:53,0.100s,FAILED
,,,,,,,
Test Cases/Login-password tidak sesuai,Chrome 126.0.0.0,,,2024-07-27 21:33:53,2024-07-27 21:33:53,0.483s,FAILED
"click(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,2024-07-27 21:33:53,2024-07-27 21:33:53,0.140s,FAILED
,,,,,,,
Test Cases/Login-normal,Chrome 126.0.0.0,,,2024-07-27 21:33:53,2024-07-27 21:33:54,0.396s,FAILED
"click(findTestObject(""Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,2024-07-27 21:33:54,2024-07-27 21:33:54,0.086s,FAILED
